subject,metric,roi,mean,sd,nvox
M87130287,RD,JHU_UF_L,0.000470,0.000058,2515
M87130907,L1,JHU_CgC_L,0.001191,0.000159,2228
M87130907,MD,JHU_CgC_L,0.000790,0.000134,2228
M87130907,RD,JHU_CgC_L,0.000589,0.000138,2228
M87130907,L1,JHU_CgC_R,0.001173,0.000252,2231
M87130907,MD,JHU_CgC_R,0.000794,0.000225,2231
M87130907,RD,JHU_CgC_R,0.000604,0.000232,2231
M87130907,L1,JHU_UF_R,0.001015,0.000120,2469
M87130907,MD,JHU_UF_R,0.000600,0.000076,2469
M87130907,RD,JHU_UF_R,0.000392,0.000090,2469
M87130907,L1,JHU_UF_L,0.001075,0.000089,2515
M87130907,MD,JHU_UF_L,0.000666,0.000059,2515
M87130907,RD,JHU_UF_L,0.000462,0.000070,2515
M87133088,L1,JHU_CgC_L,0.001129,0.000186,2228
M87133088,MD,JHU_CgC_L,0.000739,0.000143,2228
M87133088,RD,JHU_CgC_L,0.000543,0.000142,2228
M87133088,L1,JHU_CgC_R,0.001199,0.000307,2231
M87133088,MD,JHU_CgC_R,0.000807,0.000260,2231
M87133088,RD,JHU_CgC_R,0.000611,0.000251,2231
M87133088,L1,JHU_UF_R,0.001010,0.000128,2469
M87133088,MD,JHU_UF_R,0.000614,0.000096,2469
M87133088,RD,JHU_UF_R,0.000416,0.000107,2469
M87133088,L1,JHU_UF_L,0.001009,0.000112,2515
M87133088,MD,JHU_UF_L,0.000632,0.000068,2515
M87133088,RD,JHU_UF_L,0.000444,0.000072,2515
M87133484,L1,JHU_CgC_L,0.001135,0.000180,2228
M87133484,MD,JHU_CgC_L,0.000732,0.000148,2228
M87133484,RD,JHU_CgC_L,0.000531,0.000148,2228
M87133484,L1,JHU_CgC_R,0.001043,0.000187,2231
M87133484,MD,JHU_CgC_R,0.000682,0.000191,2231
M87133484,RD,JHU_CgC_R,0.000501,0.000209,2231
M87133484,L1,JHU_UF_R,0.000993,0.000096,2469
M87133484,MD,JHU_UF_R,0.000600,0.000077,2469
M87133484,RD,JHU_UF_R,0.000403,0.000095,2469
M87133484,L1,JHU_UF_L,0.001015,0.000119,2515
M87133484,MD,JHU_UF_L,0.000636,0.000085,2515
M87133484,RD,JHU_UF_L,0.000447,0.000090,2515
M87134007,L1,JHU_CgC_L,0.001240,0.000192,2228
M87134007,MD,JHU_CgC_L,0.000817,0.000146,2228
M87134007,RD,JHU_CgC_L,0.000606,0.000149,2228
M87134007,L1,JHU_CgC_R,0.001222,0.000218,2231
M87134007,MD,JHU_CgC_R,0.000834,0.000190,2231
M87134007,RD,JHU_CgC_R,0.000640,0.000201,2231
M87134007,L1,JHU_UF_R,0.001101,0.000131,2469
M87134007,MD,JHU_UF_R,0.000670,0.000091,2469
M87134007,RD,JHU_UF_R,0.000454,0.000105,2469
M87134007,L1,JHU_UF_L,0.001146,0.000149,2515
M87134007,MD,JHU_UF_L,0.000696,0.000123,2515
M87134007,RD,JHU_UF_L,0.000471,0.000133,2515
M87134320,L1,JHU_CgC_L,0.001178,0.000165,2228
M87134320,MD,JHU_CgC_L,0.000798,0.000146,2228
M87134320,RD,JHU_CgC_L,0.000609,0.000152,2228
M87134320,L1,JHU_CgC_R,0.001113,0.000170,2231
M87134320,MD,JHU_CgC_R,0.000768,0.000144,2231
M87134320,RD,JHU_CgC_R,0.000595,0.000154,2231
M87134320,L1,JHU_UF_R,0.000953,0.000111,2469
M87134320,MD,JHU_UF_R,0.000603,0.000097,2469
M87134320,RD,JHU_UF_R,0.000428,0.000109,2469
M87134320,L1,JHU_UF_L,0.001018,0.000101,2515
M87134320,MD,JHU_UF_L,0.000644,0.000080,2515
M87134320,RD,JHU_UF_L,0.000458,0.000088,2515
M87136394,L1,JHU_CgC_L,0.001085,0.000127,2228
M87136394,MD,JHU_CgC_L,0.000723,0.000107,2228
M87136394,RD,JHU_CgC_L,0.000542,0.000119,2228
M87136394,L1,JHU_CgC_R,0.001125,0.000192,2231
M87136394,MD,JHU_CgC_R,0.000749,0.000165,2231
M87136394,RD,JHU_CgC_R,0.000561,0.000177,2231
M87136394,L1,JHU_UF_R,0.000984,0.000111,2469
M87136394,MD,JHU_UF_R,0.000603,0.000091,2469
M87136394,RD,JHU_UF_R,0.000413,0.000108,2469
M87136394,L1,JHU_UF_L,0.001006,0.000112,2515
M87136394,MD,JHU_UF_L,0.000633,0.000100,2515
M87136394,RD,JHU_UF_L,0.000446,0.000109,2515
M87138094,L1,JHU_CgC_L,0.001100,0.000115,2228
M87138094,MD,JHU_CgC_L,0.000725,0.000084,2228
M87138094,RD,JHU_CgC_L,0.000538,0.000096,2228
M87138094,L1,JHU_CgC_R,0.001099,0.000193,2231
M87138094,MD,JHU_CgC_R,0.000743,0.000161,2231
M87138094,RD,JHU_CgC_R,0.000565,0.000172,2231
M87138094,L1,JHU_UF_R,0.001003,0.000106,2469
M87138094,MD,JHU_UF_R,0.000598,0.000069,2469
M87138094,RD,JHU_UF_R,0.000396,0.000083,2469
M87138094,L1,JHU_UF_L,0.001048,0.000080,2515
M87138094,MD,JHU_UF_L,0.000642,0.000057,2515
M87138094,RD,JHU_UF_L,0.000440,0.000069,2515
M87138369,L1,JHU_CgC_L,0.001165,0.000111,2228
M87138369,MD,JHU_CgC_L,0.000751,0.000089,2228
M87138369,RD,JHU_CgC_L,0.000544,0.000103,2228
M87138369,L1,JHU_CgC_R,0.001113,0.000167,2231
M87138369,MD,JHU_CgC_R,0.000729,0.000141,2231
M87138369,RD,JHU_CgC_R,0.000537,0.000155,2231
M87138369,L1,JHU_UF_R,0.001029,0.000110,2469
M87138369,MD,JHU_UF_R,0.000610,0.000077,2469
M87138369,RD,JHU_UF_R,0.000400,0.000090,2469
M87138369,L1,JHU_UF_L,0.001080,0.000086,2515
M87138369,MD,JHU_UF_L,0.000670,0.000061,2515
M87138369,RD,JHU_UF_L,0.000464,0.000069,2515
M87139195,L1,JHU_CgC_L,0.001270,0.000181,2228
M87139195,MD,JHU_CgC_L,0.000834,0.000157,2228
M87139195,RD,JHU_CgC_L,0.000615,0.000163,2228
M87139195,L1,JHU_CgC_R,0.001268,0.000257,2231
M87139195,MD,JHU_CgC_R,0.000849,0.000246,2231
M87139195,RD,JHU_CgC_R,0.000640,0.000257,2231
M87139195,L1,JHU_UF_R,0.001060,0.000147,2469
M87139195,MD,JHU_UF_R,0.000635,0.000117,2469
M87139195,RD,JHU_UF_R,0.000423,0.000132,2469
M87139195,L1,JHU_UF_L,0.001120,0.000138,2515
M87139195,MD,JHU_UF_L,0.000704,0.000110,2515
M87139195,RD,JHU_UF_L,0.000496,0.000117,2515
M87139354,L1,JHU_CgC_L,0.001190,0.000201,2228
M87139354,MD,JHU_CgC_L,0.000773,0.000148,2228
M87139354,RD,JHU_CgC_L,0.000565,0.000153,2228
M87139354,L1,JHU_CgC_R,0.001186,0.000274,2231
M87139354,MD,JHU_CgC_R,0.000802,0.000238,2231
M87139354,RD,JHU_CgC_R,0.000610,0.000234,2231
M87139354,L1,JHU_UF_R,0.001063,0.000125,2469
M87139354,MD,JHU_UF_R,0.000646,0.000082,2469
M87139354,RD,JHU_UF_R,0.000437,0.000094,2469
M87139354,L1,JHU_UF_L,0.001084,0.000108,2515
M87139354,MD,JHU_UF_L,0.000687,0.000083,2515
M87139354,RD,JHU_UF_L,0.000489,0.000085,2515
M87139763,L1,JHU_CgC_L,0.001110,0.000141,2228
M87139763,MD,JHU_CgC_L,0.000725,0.000113,2228
M87139763,RD,JHU_CgC_L,0.000532,0.000117,2228
M87139763,L1,JHU_CgC_R,0.001089,0.000197,2231
M87139763,MD,JHU_CgC_R,0.000734,0.000192,2231
M87139763,RD,JHU_CgC_R,0.000557,0.000205,2231
M87139763,L1,JHU_UF_R,0.001010,0.000100,2469
M87139763,MD,JHU_UF_R,0.000597,0.000057,2469
M87139763,RD,JHU_UF_R,0.000390,0.000076,2469
M87139763,L1,JHU_UF_L,0.001007,0.000095,2515
M87139763,MD,JHU_UF_L,0.000620,0.000043,2515
M87139763,RD,JHU_UF_L,0.000426,0.000054,2515
M87140789,L1,JHU_CgC_L,0.001250,0.000201,2228
M87140789,MD,JHU_CgC_L,0.000803,0.000153,2228
M87140789,RD,JHU_CgC_L,0.000580,0.000151,2228
M87140789,L1,JHU_CgC_R,0.001111,0.000133,2231
M87140789,MD,JHU_CgC_R,0.000734,0.000115,2231
M87140789,RD,JHU_CgC_R,0.000546,0.000138,2231
M87140789,L1,JHU_UF_R,0.001048,0.000102,2469
M87140789,MD,JHU_UF_R,0.000625,0.000048,2469
M87140789,RD,JHU_UF_R,0.000414,0.000068,2469
M87140789,L1,JHU_UF_L,0.001131,0.000128,2515
M87140789,MD,JHU_UF_L,0.000686,0.000079,2515
M87140789,RD,JHU_UF_L,0.000464,0.000086,2515
M87140994,L1,JHU_CgC_L,0.001096,0.000139,2228
M87140994,MD,JHU_CgC_L,0.000719,0.000110,2228
M87140994,RD,JHU_CgC_L,0.000531,0.000118,2228
M87140994,L1,JHU_CgC_R,0.001105,0.000134,2231
M87140994,MD,JHU_CgC_R,0.000733,0.000124,2231
M87140994,RD,JHU_CgC_R,0.000547,0.000147,2231
M87140994,L1,JHU_UF_R,0.001057,0.000091,2469
M87140994,MD,JHU_UF_R,0.000618,0.000058,2469
M87140994,RD,JHU_UF_R,0.000399,0.000075,2469
M87140994,L1,JHU_UF_L,0.001053,0.000085,2515
M87140994,MD,JHU_UF_L,0.000651,0.000043,2515
M87140994,RD,JHU_UF_L,0.000450,0.000055,2515
M87141291,L1,JHU_CgC_L,0.001198,0.000151,2228
M87141291,MD,JHU_CgC_L,0.000770,0.000116,2228
M87141291,RD,JHU_CgC_L,0.000556,0.000116,2228
M87141291,L1,JHU_CgC_R,0.001166,0.000180,2231
M87141291,MD,JHU_CgC_R,0.000779,0.000150,2231
M87141291,RD,JHU_CgC_R,0.000586,0.000154,2231
M87141291,L1,JHU_UF_R,0.001002,0.000112,2469
M87141291,MD,JHU_UF_R,0.000608,0.000058,2469
M87141291,RD,JHU_UF_R,0.000411,0.000068,2469
M87141291,L1,JHU_UF_L,0.001058,0.000121,2515
M87141291,MD,JHU_UF_L,0.000651,0.000073,2515
M87141291,RD,JHU_UF_L,0.000447,0.000078,2515
M87142581,L1,JHU_CgC_L,0.001135,0.000126,2228
M87142581,MD,JHU_CgC_L,0.000771,0.000090,2228
M87142581,RD,JHU_CgC_L,0.000590,0.000097,2228
M87142581,L1,JHU_CgC_R,0.001110,0.000144,2231
M87142581,MD,JHU_CgC_R,0.000738,0.000099,2231
M87142581,RD,JHU_CgC_R,0.000552,0.000122,2231
M87142581,L1,JHU_UF_R,0.001059,0.000113,2469
M87142581,MD,JHU_UF_R,0.000652,0.000090,2469
M87142581,RD,JHU_UF_R,0.000449,0.000102,2469
M87142581,L1,JHU_UF_L,0.001076,0.000097,2515
M87142581,MD,JHU_UF_L,0.000686,0.000075,2515
M87142581,RD,JHU_UF_L,0.000491,0.000085,2515
M87144389,L1,JHU_CgC_L,0.001128,0.000115,2228
M87144389,MD,JHU_CgC_L,0.000764,0.000080,2228
M87144389,RD,JHU_CgC_L,0.000581,0.000089,2228
M87144389,L1,JHU_CgC_R,0.001120,0.000200,2231
M87144389,MD,JHU_CgC_R,0.000753,0.000159,2231
M87144389,RD,JHU_CgC_R,0.000570,0.000160,2231
M87144389,L1,JHU_UF_R,0.001054,0.000113,2469
M87144389,MD,JHU_UF_R,0.000632,0.000089,2469
M87144389,RD,JHU_UF_R,0.000421,0.000104,2469
M87144389,L1,JHU_UF_L,0.001087,0.000080,2515
M87144389,MD,JHU_UF_L,0.000696,0.000066,2515
M87144389,RD,JHU_UF_L,0.000501,0.000075,2515
M87145095,L1,JHU_CgC_L,0.001212,0.000112,2228
M87145095,MD,JHU_CgC_L,0.000792,0.000077,2228
M87145095,RD,JHU_CgC_L,0.000582,0.000095,2228
M87145095,L1,JHU_CgC_R,0.001150,0.000171,2231
M87145095,MD,JHU_CgC_R,0.000773,0.000115,2231
M87145095,RD,JHU_CgC_R,0.000584,0.000119,2231
M87145095,L1,JHU_UF_R,0.001055,0.000112,2469
M87145095,MD,JHU_UF_R,0.000654,0.000044,2469
M87145095,RD,JHU_UF_R,0.000453,0.000062,2469
M87145095,L1,JHU_UF_L,0.001077,0.000096,2515
M87145095,MD,JHU_UF_L,0.000693,0.000045,2515
M87145095,RD,JHU_UF_L,0.000502,0.000051,2515
M87146170,L1,JHU_CgC_L,0.001184,0.000147,2228
M87146170,MD,JHU_CgC_L,0.000761,0.000132,2228
M87146170,RD,JHU_CgC_L,0.000549,0.000146,2228
M87146170,L1,JHU_CgC_R,0.001201,0.000205,2231
M87146170,MD,JHU_CgC_R,0.000783,0.000171,2231
M87146170,RD,JHU_CgC_R,0.000573,0.000178,2231
M87146170,L1,JHU_UF_R,0.001066,0.000110,2469
M87146170,MD,JHU_UF_R,0.000639,0.000078,2469
M87146170,RD,JHU_UF_R,0.000425,0.000095,2469
M87146170,L1,JHU_UF_L,0.001113,0.000118,2515
M87146170,MD,JHU_UF_L,0.000692,0.000080,2515
M87146170,RD,JHU_UF_L,0.000481,0.000085,2515
M87148213,L1,JHU_CgC_L,0.001180,0.000175,2228
M87148213,MD,JHU_CgC_L,0.000763,0.000153,2228
M87148213,RD,JHU_CgC_L,0.000555,0.000162,2228
M87148213,L1,JHU_CgC_R,0.001086,0.000160,2231
M87148213,MD,JHU_CgC_R,0.000733,0.000135,2231
M87148213,RD,JHU_CgC_R,0.000557,0.000148,2231
M87148213,L1,JHU_UF_R,0.001023,0.000132,2469
M87148213,MD,JHU_UF_R,0.000614,0.000111,2469
M87148213,RD,JHU_UF_R,0.000409,0.000121,2469
M87148213,L1,JHU_UF_L,0.001076,0.000138,2515
M87148213,MD,JHU_UF_L,0.000654,0.000108,2515
M87148213,RD,JHU_UF_L,0.000443,0.000115,2515
M87148227,L1,JHU_CgC_L,0.001143,0.000138,2228
M87148227,MD,JHU_CgC_L,0.000740,0.000120,2228
M87148227,RD,JHU_CgC_L,0.000539,0.000132,2228
M87148227,L1,JHU_CgC_R,0.001105,0.000208,2231
M87148227,MD,JHU_CgC_R,0.000740,0.000175,2231
M87148227,RD,JHU_CgC_R,0.000557,0.000177,2231
M87148227,L1,JHU_UF_R,0.000974,0.000104,2469
M87148227,MD,JHU_UF_R,0.000572,0.000082,2469
M87148227,RD,JHU_UF_R,0.000370,0.000100,2469
M87148227,L1,JHU_UF_L,0.001031,0.000100,2515
M87148227,MD,JHU_UF_L,0.000634,0.000061,2515
M87148227,RD,JHU_UF_L,0.000435,0.000071,2515
M87148801,L1,JHU_CgC_L,0.001183,0.000140,2228
M87148801,MD,JHU_CgC_L,0.000772,0.000099,2228
M87148801,RD,JHU_CgC_L,0.000566,0.000111,2228
M87148801,L1,JHU_CgC_R,0.001116,0.000171,2231
M87148801,MD,JHU_CgC_R,0.000747,0.000149,2231
M87148801,RD,JHU_CgC_R,0.000563,0.000162,2231
M87148801,L1,JHU_UF_R,0.000991,0.000121,2469
M87148801,MD,JHU_UF_R,0.000600,0.000075,2469
M87148801,RD,JHU_UF_R,0.000404,0.000085,2469
M87148801,L1,JHU_UF_L,0.001029,0.000115,2515
M87148801,MD,JHU_UF_L,0.000660,0.000060,2515
M87148801,RD,JHU_UF_L,0.000475,0.000059,2515
M87148872,L1,JHU_CgC_L,0.001247,0.000173,2228
M87148872,MD,JHU_CgC_L,0.000801,0.000147,2228
M87148872,RD,JHU_CgC_L,0.000578,0.000155,2228
M87148872,L1,JHU_CgC_R,0.001241,0.000251,2231
M87148872,MD,JHU_CgC_R,0.000836,0.000230,2231
M87148872,RD,JHU_CgC_R,0.000633,0.000232,2231
M87148872,L1,JHU_UF_R,0.001110,0.000178,2469
M87148872,MD,JHU_UF_R,0.000663,0.000155,2469
M87148872,RD,JHU_UF_R,0.000440,0.000167,2469
M87148872,L1,JHU_UF_L,0.001189,0.000187,2515
M87148872,MD,JHU_UF_L,0.000713,0.000175,2515
M87148872,RD,JHU_UF_L,0.000475,0.000187,2515
M87150736,L1,JHU_CgC_L,0.001169,0.000165,2228
M87150736,MD,JHU_CgC_L,0.000749,0.000125,2228
M87150736,RD,JHU_CgC_L,0.000539,0.000132,2228
M87150736,L1,JHU_CgC_R,0.001106,0.000165,2231
M87150736,MD,JHU_CgC_R,0.000725,0.000140,2231
M87150736,RD,JHU_CgC_R,0.000534,0.000162,2231
M87150736,L1,JHU_UF_R,0.001021,0.000125,2469
M87150736,MD,JHU_UF_R,0.000612,0.000105,2469
M87150736,RD,JHU_UF_R,0.000408,0.000116,2469
M87150736,L1,JHU_UF_L,0.001110,0.000117,2515
M87150736,MD,JHU_UF_L,0.000675,0.000075,2515
M87150736,RD,JHU_UF_L,0.000457,0.000082,2515
M87151421,L1,JHU_CgC_L,0.001169,0.000153,2228
M87151421,MD,JHU_CgC_L,0.000750,0.000116,2228
M87151421,RD,JHU_CgC_L,0.000540,0.000125,2228
M87151421,L1,JHU_CgC_R,0.001107,0.000154,2231
M87151421,MD,JHU_CgC_R,0.000730,0.000138,2231
M87151421,RD,JHU_CgC_R,0.000541,0.000161,2231
M87151421,L1,JHU_UF_R,0.001022,0.000115,2469
M87151421,MD,JHU_UF_R,0.000610,0.000058,2469
M87151421,RD,JHU_UF_R,0.000404,0.000068,2469
M87151421,L1,JHU_UF_L,0.001043,0.000095,2515
M87151421,MD,JHU_UF_L,0.000648,0.000058,2515
M87151421,RD,JHU_UF_L,0.000451,0.000067,2515
M87151497,L1,JHU_CgC_L,0.001187,0.000180,2228
M87151497,MD,JHU_CgC_L,0.000782,0.000141,2228
M87151497,RD,JHU_CgC_L,0.000579,0.000143,2228
M87151497,L1,JHU_CgC_R,0.001175,0.000216,2231
M87151497,MD,JHU_CgC_R,0.000797,0.000192,2231
M87151497,RD,JHU_CgC_R,0.000608,0.000195,2231
M87151497,L1,JHU_UF_R,0.001036,0.000098,2469
M87151497,MD,JHU_UF_R,0.000644,0.000081,2469
M87151497,RD,JHU_UF_R,0.000448,0.000100,2469
M87151497,L1,JHU_UF_L,0.001101,0.000114,2515
M87151497,MD,JHU_UF_L,0.000693,0.000089,2515
M87151497,RD,JHU_UF_L,0.000488,0.000097,2515
M87151738,L1,JHU_CgC_L,0.001129,0.000159,2228
M87151738,MD,JHU_CgC_L,0.000733,0.000125,2228
M87151738,RD,JHU_CgC_L,0.000536,0.000132,2228
M87151738,L1,JHU_CgC_R,0.001146,0.000218,2231
M87151738,MD,JHU_CgC_R,0.000764,0.000187,2231
M87151738,RD,JHU_CgC_R,0.000573,0.000187,2231
M87151738,L1,JHU_UF_R,0.001007,0.000098,2469
M87151738,MD,JHU_UF_R,0.000602,0.000061,2469
M87151738,RD,JHU_UF_R,0.000400,0.000071,2469
M87151738,L1,JHU_UF_L,0.001066,0.000095,2515
M87151738,MD,JHU_UF_L,0.000647,0.000055,2515
M87151738,RD,JHU_UF_L,0.000438,0.000061,2515
M87151861,L1,JHU_CgC_L,0.001202,0.000188,2228
M87151861,MD,JHU_CgC_L,0.000796,0.000145,2228
M87151861,RD,JHU_CgC_L,0.000593,0.000143,2228
M87151861,L1,JHU_CgC_R,0.001160,0.000226,2231
M87151861,MD,JHU_CgC_R,0.000779,0.000197,2231
M87151861,RD,JHU_CgC_R,0.000589,0.000197,2231
M87151861,L1,JHU_UF_R,0.001001,0.000107,2469
M87151861,MD,JHU_UF_R,0.000624,0.000051,2469
M87151861,RD,JHU_UF_R,0.000435,0.000059,2469
M87151861,L1,JHU_UF_L,0.001044,0.000112,2515
M87151861,MD,JHU_UF_L,0.000675,0.000056,2515
M87151861,RD,JHU_UF_L,0.000491,0.000060,2515
M87151976,L1,JHU_CgC_L,0.001069,0.000128,2228
M87151976,MD,JHU_CgC_L,0.000709,0.000095,2228
M87151976,RD,JHU_CgC_L,0.000529,0.000103,2228
M87151976,L1,JHU_CgC_R,0.001097,0.000172,2231
M87151976,MD,JHU_CgC_R,0.000732,0.000150,2231
M87151976,RD,JHU_CgC_R,0.000550,0.000166,2231
M87151976,L1,JHU_UF_R,0.000964,0.000107,2469
M87151976,MD,JHU_UF_R,0.000572,0.000081,2469
M87151976,RD,JHU_UF_R,0.000376,0.000090,2469
M87151976,L1,JHU_UF_L,0.000996,0.000115,2515
M87151976,MD,JHU_UF_L,0.000617,0.000087,2515
M87151976,RD,JHU_UF_L,0.000427,0.000089,2515
M87152378,L1,JHU_CgC_L,0.001154,0.000132,2228
M87152378,MD,JHU_CgC_L,0.000772,0.000103,2228
M87152378,RD,JHU_CgC_L,0.000581,0.000112,2228
M87152378,L1,JHU_CgC_R,0.001153,0.000188,2231
M87152378,MD,JHU_CgC_R,0.000774,0.000162,2231
M87152378,RD,JHU_CgC_R,0.000585,0.000169,2231
M87152378,L1,JHU_UF_R,0.001042,0.000108,2469
M87152378,MD,JHU_UF_R,0.000626,0.000088,2469
M87152378,RD,JHU_UF_R,0.000419,0.000103,2469
M87152378,L1,JHU_UF_L,0.001110,0.000105,2515
M87152378,MD,JHU_UF_L,0.000673,0.000060,2515
M87152378,RD,JHU_UF_L,0.000455,0.000070,2515
M87152615,L1,JHU_CgC_L,0.001227,0.000179,2228
M87152615,MD,JHU_CgC_L,0.000791,0.000117,2228
M87152615,RD,JHU_CgC_L,0.000572,0.000118,2228
M87152615,L1,JHU_CgC_R,0.001189,0.000221,2231
M87152615,MD,JHU_CgC_R,0.000785,0.000184,2231
M87152615,RD,JHU_CgC_R,0.000583,0.000181,2231
M87152615,L1,JHU_UF_R,0.001022,0.000116,2469
M87152615,MD,JHU_UF_R,0.000614,0.000077,2469
M87152615,RD,JHU_UF_R,0.000410,0.000090,2469
M87152615,L1,JHU_UF_L,0.001065,0.000111,2515
M87152615,MD,JHU_UF_L,0.000664,0.000059,2515
M87152615,RD,JHU_UF_L,0.000464,0.000070,2515
M87152938,L1,JHU_CgC_L,0.001211,0.000168,2228
M87152938,MD,JHU_CgC_L,0.000807,0.000132,2228
M87152938,RD,JHU_CgC_L,0.000605,0.000127,2228
M87152938,L1,JHU_CgC_R,0.001076,0.000175,2231
M87152938,MD,JHU_CgC_R,0.000733,0.000155,2231
M87152938,RD,JHU_CgC_R,0.000561,0.000165,2231
M87152938,L1,JHU_UF_R,0.001028,0.000102,2469
M87152938,MD,JHU_UF_R,0.000611,0.000074,2469
M87152938,RD,JHU_UF_R,0.000403,0.000094,2469
M87152938,L1,JHU_UF_L,0.001069,0.000102,2515
M87152938,MD,JHU_UF_L,0.000666,0.000068,2515
M87152938,RD,JHU_UF_L,0.000465,0.000079,2515
M87153117,L1,JHU_CgC_L,0.001131,0.000221,2228
M87153117,MD,JHU_CgC_L,0.000764,0.000173,2228
M87153117,RD,JHU_CgC_L,0.000581,0.000172,2228
M87153117,L1,JHU_CgC_R,0.001085,0.000282,2231
M87153117,MD,JHU_CgC_R,0.000765,0.000241,2231
M87153117,RD,JHU_CgC_R,0.000605,0.000238,2231
M87153117,L1,JHU_UF_R,0.001068,0.000208,2469
M87153117,MD,JHU_UF_R,0.000672,0.000190,2469
M87153117,RD,JHU_UF_R,0.000473,0.000201,2469
M87153117,L1,JHU_UF_L,0.001118,0.000170,2515
M87153117,MD,JHU_UF_L,0.000699,0.000157,2515
M87153117,RD,JHU_UF_L,0.000489,0.000167,2515
M87153317,L1,JHU_CgC_L,0.001224,0.000190,2228
M87153317,MD,JHU_CgC_L,0.000810,0.000163,2228
M87153317,RD,JHU_CgC_L,0.000603,0.000164,2228
M87153317,L1,JHU_CgC_R,0.001248,0.000246,2231
M87153317,MD,JHU_CgC_R,0.000859,0.000221,2231
M87153317,RD,JHU_CgC_R,0.000664,0.000221,2231
M87153317,L1,JHU_UF_R,0.001130,0.000161,2469
M87153317,MD,JHU_UF_R,0.000678,0.000119,2469
M87153317,RD,JHU_UF_R,0.000453,0.000126,2469
M87153317,L1,JHU_UF_L,0.001108,0.000157,2515
M87153317,MD,JHU_UF_L,0.000695,0.000116,2515
M87153317,RD,JHU_UF_L,0.000489,0.000122,2515
M87153618,L1,JHU_CgC_L,0.001037,0.000125,2228
M87153618,MD,JHU_CgC_L,0.000707,0.000113,2228
M87153618,RD,JHU_CgC_L,0.000542,0.000119,2228
M87153618,L1,JHU_CgC_R,0.001042,0.000145,2231
M87153618,MD,JHU_CgC_R,0.000705,0.000137,2231
M87153618,RD,JHU_CgC_R,0.000536,0.000149,2231
M87153618,L1,JHU_UF_R,0.001029,0.000139,2469
M87153618,MD,JHU_UF_R,0.000627,0.000111,2469
M87153618,RD,JHU_UF_R,0.000427,0.000120,2469
M87153618,L1,JHU_UF_L,0.001082,0.000138,2515
M87153618,MD,JHU_UF_L,0.000675,0.000115,2515
M87153618,RD,JHU_UF_L,0.000471,0.000122,2515
M87154497,L1,JHU_CgC_L,0.001114,0.000098,2228
M87154497,MD,JHU_CgC_L,0.000754,0.000067,2228
M87154497,RD,JHU_CgC_L,0.000574,0.000081,2228
M87154497,L1,JHU_CgC_R,0.001190,0.000163,2231
M87154497,MD,JHU_CgC_R,0.000805,0.000143,2231
M87154497,RD,JHU_CgC_R,0.000612,0.000155,2231
M87154497,L1,JHU_UF_R,0.001041,0.000093,2469
M87154497,MD,JHU_UF_R,0.000641,0.000076,2469
M87154497,RD,JHU_UF_R,0.000440,0.000093,2469
M87154497,L1,JHU_UF_L,0.001035,0.000088,2515
M87154497,MD,JHU_UF_L,0.000679,0.000064,2515
M87154497,RD,JHU_UF_L,0.000501,0.000075,2515
M87155171,L1,JHU_CgC_L,0.001146,0.000134,2228
M87155171,MD,JHU_CgC_L,0.000727,0.000107,2228
M87155171,RD,JHU_CgC_L,0.000517,0.000119,2228
M87155171,L1,JHU_CgC_R,0.001164,0.000213,2231
M87155171,MD,JHU_CgC_R,0.000762,0.000193,2231
M87155171,RD,JHU_CgC_R,0.000561,0.000197,2231
M87155171,L1,JHU_UF_R,0.001072,0.000112,2469
M87155171,MD,JHU_UF_R,0.000625,0.000054,2469
M87155171,RD,JHU_UF_R,0.000402,0.000068,2469
M87155171,L1,JHU_UF_L,0.001092,0.000091,2515
M87155171,MD,JHU_UF_L,0.000660,0.000041,2515
M87155171,RD,JHU_UF_L,0.000444,0.000049,2515
M87155398,L1,JHU_CgC_L,0.001114,0.000124,2228
M87155398,MD,JHU_CgC_L,0.000734,0.000097,2228
M87155398,RD,JHU_CgC_L,0.000544,0.000111,2228
M87155398,L1,JHU_CgC_R,0.001118,0.000144,2231
M87155398,MD,JHU_CgC_R,0.000749,0.000122,2231
M87155398,RD,JHU_CgC_R,0.000565,0.000146,2231
M87155398,L1,JHU_UF_R,0.001049,0.000099,2469
M87155398,MD,JHU_UF_R,0.000621,0.000057,2469
M87155398,RD,JHU_UF_R,0.000407,0.000075,2469
M87155398,L1,JHU_UF_L,0.001055,0.000089,2515
M87155398,MD,JHU_UF_L,0.000661,0.000051,2515
M87155398,RD,JHU_UF_L,0.000465,0.000062,2515
M87156032,L1,JHU_CgC_L,0.001195,0.000168,2228
M87156032,MD,JHU_CgC_L,0.000788,0.000140,2228
M87156032,RD,JHU_CgC_L,0.000585,0.000148,2228
M87156032,L1,JHU_CgC_R,0.001178,0.000239,2231
M87156032,MD,JHU_CgC_R,0.000801,0.000207,2231
M87156032,RD,JHU_CgC_R,0.000612,0.000209,2231
M87156032,L1,JHU_UF_R,0.001031,0.000115,2469
M87156032,MD,JHU_UF_R,0.000608,0.000064,2469
M87156032,RD,JHU_UF_R,0.000397,0.000070,2469
M87156032,L1,JHU_UF_L,0.001101,0.000116,2515
M87156032,MD,JHU_UF_L,0.000669,0.000068,2515
M87156032,RD,JHU_UF_L,0.000452,0.000069,2515
M87157671,L1,JHU_CgC_L,0.001132,0.000150,2228
