subject,metric,roi,mean,sd,nvox
M87105367,MD,JHU_UF_R,0.000590,0.000050,2469
M87105367,RD,JHU_UF_R,0.000396,0.000064,2469
M87105367,L1,JHU_UF_L,0.001054,0.000107,2515
M87105367,MD,JHU_UF_L,0.000663,0.000049,2515
M87105367,RD,JHU_UF_L,0.000467,0.000051,2515
M87105824,L1,JHU_CgC_L,0.001188,0.000164,2228
M87105824,MD,JHU_CgC_L,0.000769,0.000136,2228
M87105824,RD,JHU_CgC_L,0.000559,0.000146,2228
M87105824,L1,JHU_CgC_R,0.001169,0.000245,2231
M87105824,MD,JHU_CgC_R,0.000790,0.000231,2231
M87105824,RD,JHU_CgC_R,0.000600,0.000237,2231
M87105824,L1,JHU_UF_R,0.001031,0.000130,2469
M87105824,MD,JHU_UF_R,0.000619,0.000113,2469
M87105824,RD,JHU_UF_R,0.000413,0.000122,2469
M87105824,L1,JHU_UF_L,0.001104,0.000122,2515
M87105824,MD,JHU_UF_L,0.000673,0.000086,2515
M87105824,RD,JHU_UF_L,0.000457,0.000098,2515
M87105955,L1,JHU_CgC_L,0.001302,0.000195,2228
M87105955,MD,JHU_CgC_L,0.000886,0.000157,2228
M87105955,RD,JHU_CgC_L,0.000678,0.000158,2228
M87105955,L1,JHU_CgC_R,0.001278,0.000218,2231
M87105955,MD,JHU_CgC_R,0.000884,0.000177,2231
M87105955,RD,JHU_CgC_R,0.000687,0.000182,2231
M87105955,L1,JHU_UF_R,0.001252,0.000271,2469
M87105955,MD,JHU_UF_R,0.000769,0.000260,2469
M87105955,RD,JHU_UF_R,0.000527,0.000275,2469
M87105955,L1,JHU_UF_L,0.001191,0.000187,2515
M87105955,MD,JHU_UF_L,0.000756,0.000157,2515
M87105955,RD,JHU_UF_L,0.000539,0.000161,2515
M87108106,L1,JHU_CgC_L,0.001170,0.000170,2228
M87108106,MD,JHU_CgC_L,0.000773,0.000125,2228
M87108106,RD,JHU_CgC_L,0.000575,0.000126,2228
M87108106,L1,JHU_CgC_R,0.001106,0.000122,2231
M87108106,MD,JHU_CgC_R,0.000748,0.000112,2231
M87108106,RD,JHU_CgC_R,0.000570,0.000126,2231
M87108106,L1,JHU_UF_R,0.001096,0.000105,2469
M87108106,MD,JHU_UF_R,0.000655,0.000076,2469
M87108106,RD,JHU_UF_R,0.000435,0.000095,2469
M87108106,L1,JHU_UF_L,0.001113,0.000097,2515
M87108106,MD,JHU_UF_L,0.000686,0.000066,2515
M87108106,RD,JHU_UF_L,0.000473,0.000080,2515
M87109162,L1,JHU_CgC_L,0.001164,0.000151,2228
M87109162,MD,JHU_CgC_L,0.000736,0.000122,2228
M87109162,RD,JHU_CgC_L,0.000522,0.000131,2228
M87109162,L1,JHU_CgC_R,0.001189,0.000222,2231
M87109162,MD,JHU_CgC_R,0.000772,0.000181,2231
M87109162,RD,JHU_CgC_R,0.000563,0.000189,2231
M87109162,L1,JHU_UF_R,0.001090,0.000120,2469
M87109162,MD,JHU_UF_R,0.000624,0.000067,2469
M87109162,RD,JHU_UF_R,0.000391,0.000081,2469
M87109162,L1,JHU_UF_L,0.001102,0.000107,2515
M87109162,MD,JHU_UF_L,0.000662,0.000053,2515
M87109162,RD,JHU_UF_L,0.000442,0.000057,2515
M87109276,L1,JHU_CgC_L,0.001159,0.000167,2228
M87109276,MD,JHU_CgC_L,0.000745,0.000151,2228
M87109276,RD,JHU_CgC_L,0.000539,0.000162,2228
M87109276,L1,JHU_CgC_R,0.001116,0.000170,2231
M87109276,MD,JHU_CgC_R,0.000749,0.000171,2231
M87109276,RD,JHU_CgC_R,0.000565,0.000191,2231
M87109276,L1,JHU_UF_R,0.001069,0.000118,2469
M87109276,MD,JHU_UF_R,0.000641,0.000103,2469
M87109276,RD,JHU_UF_R,0.000427,0.000120,2469
M87109276,L1,JHU_UF_L,0.001067,0.000125,2515
M87109276,MD,JHU_UF_L,0.000653,0.000085,2515
M87109276,RD,JHU_UF_L,0.000446,0.000092,2515
M87109978,L1,JHU_CgC_L,0.001201,0.000167,2228
M87109978,MD,JHU_CgC_L,0.000739,0.000104,2228
M87109978,RD,JHU_CgC_L,0.000508,0.000116,2228
M87109978,L1,JHU_CgC_R,0.001170,0.000230,2231
M87109978,MD,JHU_CgC_R,0.000757,0.000190,2231
M87109978,RD,JHU_CgC_R,0.000550,0.000196,2231
M87109978,L1,JHU_UF_R,0.001037,0.000112,2469
M87109978,MD,JHU_UF_R,0.000616,0.000059,2469
M87109978,RD,JHU_UF_R,0.000406,0.000073,2469
M87109978,L1,JHU_UF_L,0.001067,0.000103,2515
M87109978,MD,JHU_UF_L,0.000659,0.000046,2515
M87109978,RD,JHU_UF_L,0.000455,0.000051,2515
M87110730,L1,JHU_CgC_L,0.001145,0.000138,2228
M87110730,MD,JHU_CgC_L,0.000779,0.000098,2228
M87110730,RD,JHU_CgC_L,0.000596,0.000101,2228
M87110730,L1,JHU_CgC_R,0.001184,0.000212,2231
M87110730,MD,JHU_CgC_R,0.000806,0.000197,2231
M87110730,RD,JHU_CgC_R,0.000617,0.000204,2231
M87110730,L1,JHU_UF_R,0.001015,0.000114,2469
M87110730,MD,JHU_UF_R,0.000614,0.000081,2469
M87110730,RD,JHU_UF_R,0.000414,0.000083,2469
M87110730,L1,JHU_UF_L,0.001038,0.000107,2515
M87110730,MD,JHU_UF_L,0.000661,0.000085,2515
M87110730,RD,JHU_UF_L,0.000473,0.000089,2515
M87110768,L1,JHU_CgC_L,0.001233,0.000166,2228
M87110768,MD,JHU_CgC_L,0.000839,0.000121,2228
M87110768,RD,JHU_CgC_L,0.000641,0.000126,2228
M87110768,L1,JHU_CgC_R,0.001239,0.000264,2231
M87110768,MD,JHU_CgC_R,0.000855,0.000227,2231
M87110768,RD,JHU_CgC_R,0.000664,0.000224,2231
M87110768,L1,JHU_UF_R,0.001027,0.000137,2469
M87110768,MD,JHU_UF_R,0.000654,0.000110,2469
M87110768,RD,JHU_UF_R,0.000467,0.000118,2469
M87110768,L1,JHU_UF_L,0.001105,0.000114,2515
M87110768,MD,JHU_UF_L,0.000713,0.000094,2515
M87110768,RD,JHU_UF_L,0.000517,0.000102,2515
M87111014,L1,JHU_CgC_L,0.001155,0.000164,2228
M87111014,MD,JHU_CgC_L,0.000743,0.000141,2228
M87111014,RD,JHU_CgC_L,0.000537,0.000146,2228
M87111014,L1,JHU_CgC_R,0.001167,0.000213,2231
M87111014,MD,JHU_CgC_R,0.000770,0.000199,2231
M87111014,RD,JHU_CgC_R,0.000571,0.000206,2231
M87111014,L1,JHU_UF_R,0.001027,0.000105,2469
M87111014,MD,JHU_UF_R,0.000614,0.000073,2469
M87111014,RD,JHU_UF_R,0.000408,0.000083,2469
M87111014,L1,JHU_UF_L,0.001032,0.000093,2515
M87111014,MD,JHU_UF_L,0.000643,0.000059,2515
M87111014,RD,JHU_UF_L,0.000448,0.000065,2515
M87112091,L1,JHU_CgC_L,0.001209,0.000165,2228
M87112091,MD,JHU_CgC_L,0.000787,0.000125,2228
M87112091,RD,JHU_CgC_L,0.000576,0.000128,2228
M87112091,L1,JHU_CgC_R,0.001201,0.000175,2231
M87112091,MD,JHU_CgC_R,0.000806,0.000160,2231
M87112091,RD,JHU_CgC_R,0.000609,0.000170,2231
M87112091,L1,JHU_UF_R,0.001067,0.000106,2469
M87112091,MD,JHU_UF_R,0.000648,0.000049,2469
M87112091,RD,JHU_UF_R,0.000439,0.000064,2469
M87112091,L1,JHU_UF_L,0.001102,0.000109,2515
M87112091,MD,JHU_UF_L,0.000686,0.000051,2515
M87112091,RD,JHU_UF_L,0.000478,0.000059,2515
M87113923,L1,JHU_CgC_L,0.001220,0.000121,2228
M87113923,MD,JHU_CgC_L,0.000819,0.000100,2228
M87113923,RD,JHU_CgC_L,0.000618,0.000114,2228
M87113923,L1,JHU_CgC_R,0.001163,0.000148,2231
M87113923,MD,JHU_CgC_R,0.000796,0.000119,2231
M87113923,RD,JHU_CgC_R,0.000612,0.000133,2231
M87113923,L1,JHU_UF_R,0.001086,0.000087,2469
M87113923,MD,JHU_UF_R,0.000663,0.000048,2469
M87113923,RD,JHU_UF_R,0.000451,0.000068,2469
M87113923,L1,JHU_UF_L,0.001153,0.000094,2515
